GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-203114-203468-1642259-1642267-1642273-,K. Middleton - C. McCollum - A. Sarr - B. Carrington - K. George,1610612764,WAS,7,1,6,0.143,70.99,67,136,0.493,22,48,0.458,24,32,0.75,14,56,70,43,20,10,8,12,35,26,180,-10,1,2,221,46,1,1,1,89,1,1,45,1,1,53,1,1,1,1,221,1,2,221,221,1,1,210,212970
Lineups,-203114-203468-1641731-1642259-1642273-,K. Middleton - C. McCollum - B. Coulibaly - A. Sarr - K. George,1610612764,WAS,4,0,4,0,61.233333,45,107,0.421,21,45,0.467,19,30,0.633,11,42,53,33,18,8,9,8,34,22,130,-17,7,47,211,47,2,2,2,103,2,2,44,2,2,67,3,2,2,2,220,3,1,220,220,2,2,218,183700
Lineups,-1628963-1630557-1641715-1642273-1642848-,M. Bagley III - C. Kispert - C. Whitmore - K. George - T. Johnson,1610612764,WAS,5,1,4,0.2,38.938333,30,69,0.435,13,34,0.382,13,18,0.722,6,30,36,18,16,9,3,1,19,14,86,-25,4,2,211,42,3,6,4,99,4,3,58,5,3,60,7,3,3,6,219,2,7,163,219,4,6,221,116815
Lineups,-203114-203468-1628963-1641731-1642273-,K. Middleton - C. McCollum - M. Bagley III - B. Coulibaly - K. George,1610612764,WAS,3,1,2,0.333,37.49,42,77,0.545,11,27,0.407,4,11,0.364,9,22,31,27,9,8,1,4,17,16,99,8,13,2,174,37,4,3,3,58,6,5,52,18,7,88,4,5,6,3,215,3,19,217,218,3,3,5,112470
Lineups,-1628963-1630557-1641715-1642267-1642848-,M. Bagley III - C. Kispert - C. Whitmore - B. Carrington - T. Johnson,1610612764,WAS,6,1,5,0.167,36.87,35,69,0.507,13,29,0.448,11,15,0.733,6,28,34,23,10,5,1,6,15,14,94,-4,2,2,218,44,5,5,4,63,4,4,46,6,6,59,7,4,4,4,217,6,19,219,217,4,4,170,110610
Lineups,-203114-203468-1642259-1642273-1642848-,K. Middleton - C. McCollum - A. Sarr - K. George - T. Johnson,1610612764,WAS,5,1,4,0.2,31.421667,37,69,0.536,14,27,0.519,5,5,1,12,21,33,23,11,5,4,3,14,6,93,22,4,2,211,42,6,4,4,62,3,5,26,13,19,1,2,6,5,4,218,6,4,210,216,10,5,2,94265
Lineups,-203468-1628963-1630557-1641715-1642267-,C. McCollum - M. Bagley III - C. Kispert - C. Whitmore - B. Carrington,1610612764,WAS,4,0,4,0,28.513333,27,55,0.491,8,21,0.381,15,18,0.833,7,15,22,13,7,7,4,2,12,14,77,-2,7,47,211,47,7,7,7,90,8,7,59,3,3,46,6,9,7,9,212,5,4,199,215,4,7,125,85540
Lineups,-1630551-1641715-1641774-1642267-1642273-,J. Champagnie - C. Whitmore - T. Vukcevic - B. Carrington - K. George,1610612764,WAS,3,1,2,0.333,25.216667,20,48,0.417,5,17,0.294,15,18,0.833,8,11,19,16,4,4,3,1,11,10,60,-12,13,2,174,37,8,9,8,104,11,9,71,3,3,46,5,13,10,7,203,9,7,163,212,7,8,214,75650
Lineups,-203114-203468-1642259-1642267-1642848-,K. Middleton - C. McCollum - A. Sarr - B. Carrington - T. Johnson,1610612764,WAS,6,1,5,0.167,24.183333,20,44,0.455,5,19,0.263,7,9,0.778,3,13,16,16,8,3,2,1,11,6,52,-18,2,2,218,44,9,9,9,94,11,8,74,7,8,52,14,11,13,7,213,11,10,163,212,10,10,219,72550
Lineups,-203468-1630551-1641731-1642259-1642273-,C. McCollum - J. Champagnie - B. Coulibaly - A. Sarr - K. George,1610612764,WAS,2,0,2,0,20.05,19,40,0.475,4,9,0.444,5,8,0.625,6,12,18,13,8,4,1,3,11,7,47,-2,23,47,174,47,10,11,10,91,13,15,47,13,10,68,7,12,12,9,213,9,19,210,212,8,11,125,60150
Lineups,-203114-203468-1630557-1641731-1642259-,K. Middleton - C. McCollum - C. Kispert - B. Coulibaly - A. Sarr,1610612764,WAS,1,1,0,1,17.673333,22,39,0.564,10,16,0.625,5,7,0.714,4,16,20,12,1,5,4,2,4,6,59,28,59,2,1,1,11,8,11,54,7,10,23,13,12,61,13,8,9,11,104,6,4,199,195,10,9,1,53020
